country,continent,population,total_cases,total_deaths,infection_rate,death_rate
Afghanistan,Asia,38928341,80841,3187,0.21,3.94
Albania,Europe,2877800,132384,2452,4.6,1.85
Algeria,Africa,43851043,131283,3527,0.3,2.69
Andorra,Europe,77265,13777,127,17.83,0.92
Angola,Africa,32866268,35854,800,0.11,2.23
Anguilla,North America,15002,0,0,0.0,0.0
Antigua and Barbuda,North America,97928,1263,42,1.29,3.33
Argentina,South America,45195777,3977634,81946,8.8,2.06
Armenia,Asia,2963234,223212,4463,7.53,2.0
Aruba,North America,106766,0,0,0.0,0.0
Australia,Oceania,25499881,30205,910,0.12,3.01
Austria,Europe,9006400,647079,10640,7.18,1.64
Azerbaijan,Asia,10139175,334747,4945,3.3,1.48
Bahamas,North America,393248,12024,232,3.06,1.93
Bahrain,Asia,1701583,252600,1143,14.85,0.45
Bangladesh,Asia,164689383,812960,12869,0.49,1.58
Barbados,North America,287371,4032,47,1.4,1.17
Belarus,Europe,9449321,400422,2919,4.24,0.73
Belgium,Europe,11589616,1071271,25041,9.24,2.34
Belize,North America,397621,12899,325,3.24,2.52
Benin,Africa,12123198,8082,102,0.07,1.26
Bermuda,North America,62273,0,0,0.0,0.0
Bhutan,Asia,771612,1703,1,0.22,0.06
Bolivia,South America,11673029,387162,15024,3.32,3.88
Bonaire Sint Eustatius and Saba,North America,26221,0,0,0.0,0.0
Bosnia and Herzegovina,Europe,3280815,204410,9411,6.23,4.6
Botswana,Africa,2351625,58095,885,2.47,1.52
Brazil,South America,212559409,16984218,474414,7.99,2.79
British Virgin Islands,North America,30237,0,0,0.0,0.0
Brunei,Asia,437483,244,3,0.06,1.23
Bulgaria,Europe,6948445,419681,17854,6.04,4.25
Burkina Faso,Africa,20903278,13453,167,0.06,1.24
Burundi,Africa,11890781,4925,8,0.04,0.16
Cambodia,Asia,16718971,34833,266,0.21,0.76
Cameroon,Africa,26545864,78929,1275,0.3,1.62
Canada,North America,37742157,1401912,25741,3.71,1.84
Cape Verde,Africa,555988,31147,267,5.6,0.86
Cayman Islands,North America,65720,0,0,0.0,0.0
Central African Republic,Africa,4829764,7101,98,0.15,1.38
Chad,Africa,16425859,4940,174,0.03,3.52
Chile,South America,19116209,1434884,30058,7.51,2.09
China,Asia,1439323774,91351,4636,0.01,5.07
Colombia,South America,50882884,3593016,92496,7.06,2.57
Comoros,Africa,869595,3890,146,0.45,3.75
Congo,Africa,5518092,12026,157,0.22,1.31
Cook Islands,Oceania,17564,0,0,0.0,0.0
Costa Rica,North America,5094114,331920,4228,6.52,1.27
Cote d'Ivoire,Africa,26378275,47493,306,0.18,0.64
Croatia,Europe,4105268,357608,8091,8.71,2.26
Cuba,North America,11326616,150103,1025,1.33,0.68
Curacao,North America,164100,0,0,0.0,0.0
Cyprus,Europe,875899,72859,364,8.32,0.5
Czechia,Europe,10708982,1663607,30164,15.53,1.81
Democratic Republic of Congo,Africa,89561404,33338,805,0.04,2.41
Denmark,Europe,5792203,287735,2521,4.97,0.88
Djibouti,Africa,988002,11565,154,1.17,1.33
Dominica,North America,71991,188,0,0.26,0.0
Dominican Republic,North America,10847904,301984,3655,2.78,1.21
