Country,date,Highest_infected_population,Population,Total_cases_percentage
Andorra,2021-06-07,13777,77265,17.83
Andorra,2021-06-04,13758,77265,17.81
Andorra,2021-06-05,13758,77265,17.81
Andorra,2021-06-06,13758,77265,17.81
Andorra,2021-06-03,13752,77265,17.80
Andorra,2021-06-02,13744,77265,17.79
Andorra,2021-05-31,13727,77265,17.77
Andorra,2021-06-01,13729,77265,17.77
Andorra,2021-05-28,13693,77265,17.72
Andorra,2021-05-29,13693,77265,17.72
Andorra,2021-05-30,13693,77265,17.72
Andorra,2021-05-27,13682,77265,17.71
Andorra,2021-05-26,13671,77265,17.69
Andorra,2021-05-25,13664,77265,17.68
Andorra,2021-05-18,13569,77265,17.56
Andorra,2021-05-19,13569,77265,17.56
Andorra,2021-05-20,13569,77265,17.56
Andorra,2021-05-21,13569,77265,17.56
Andorra,2021-05-22,13569,77265,17.56
Andorra,2021-05-23,13569,77265,17.56
Andorra,2021-05-24,13569,77265,17.56
Andorra,2021-05-17,13555,77265,17.54
Andorra,2021-05-14,13510,77265,17.49
Andorra,2021-05-15,13510,77265,17.49
Andorra,2021-05-16,13510,77265,17.49
Andorra,2021-05-12,13470,77265,17.43
Andorra,2021-05-13,13470,77265,17.43
Andorra,2021-05-11,13447,77265,17.40
Andorra,2021-05-10,13429,77265,17.38
Andorra,2021-05-09,13423,77265,17.37
Andorra,2021-05-08,13406,77265,17.35
Andorra,2021-05-07,13390,77265,17.33
Andorra,2021-05-06,13363,77265,17.30
Andorra,2021-05-05,13340,77265,17.27
Andorra,2021-05-04,13316,77265,17.23
Andorra,2021-05-03,13295,77265,17.21
Andorra,2021-05-02,13282,77265,17.19
Andorra,2021-04-30,13232,77265,17.13
Andorra,2021-05-01,13232,77265,17.13
Andorra,2021-04-29,13198,77265,17.08
Andorra,2021-04-28,13148,77265,17.02
Andorra,2021-04-27,13121,77265,16.98
Andorra,2021-04-26,13083,77265,16.93
Andorra,2021-04-25,13060,77265,16.90
Andorra,2021-04-24,13024,77265,16.86
Andorra,2021-04-23,13007,77265,16.83
Andorra,2021-04-22,12942,77265,16.75
Andorra,2021-04-21,12917,77265,16.72
Andorra,2021-04-20,12874,77265,16.66
Andorra,2021-04-18,12805,77265,16.57
Andorra,2021-04-19,12805,77265,16.57
Andorra,2021-04-17,12771,77265,16.53
Andorra,2021-04-16,12712,77265,16.45
Andorra,2021-04-14,12641,77265,16.36
Andorra,2021-04-15,12641,77265,16.36
Andorra,2021-04-13,12614,77265,16.33
Andorra,2021-04-12,12581,77265,16.28
Andorra,2021-04-11,12545,77265,16.24
Andorra,2021-04-10,12497,77265,16.17
Andorra,2021-04-09,12456,77265,16.12
Andorra,2021-04-08,12409,77265,16.06
Andorra,2021-04-07,12363,77265,16.00
Andorra,2021-04-06,12328,77265,15.96
Andorra,2021-04-05,12286,77265,15.90
Montenegro,2021-06-07,99834,628062,15.90
Montenegro,2021-06-05,99791,628062,15.89
Montenegro,2021-06-06,99812,628062,15.89
Montenegro,2021-06-03,99717,628062,15.88
