country,continent,total_tests,total_vaccinations,people_fully_vaccinated
Afghanistan,Asia,0,630305,148505
Albania,Europe,718515,803682,310336
Algeria,Africa,0,2500000,0
Andorra,Europe,191856,35916,8303
Angola,Africa,0,909215,230181
Anguilla,North America,0,14443,5439
Antigua and Barbuda,North America,0,55578,21494
Argentina,South America,10156324,14336164,3045696
Armenia,Asia,1104999,33529,0
Aruba,North America,0,117036,52852
Australia,Oceania,18961812,5076413,571595
Austria,Europe,45278379,5714006,1834165
Azerbaijan,Asia,3567745,2546770,935271
Bahamas,North America,0,55037,8659
Bahrain,Asia,4730469,1838561,831944
Bangladesh,Asia,6057158,10034502,4211257
Barbados,North America,0,143488,61178
Belarus,Europe,6438423,796834,279683
Belgium,Europe,14274146,7673969,2587467
Belize,North America,134842,80121,12270
Benin,Africa,640586,12934,418
Bermuda,North America,0,71114,33560
Bhutan,Asia,798573,482716,0
Bolivia,South America,1550210,1878702,407869
Bonaire Sint Eustatius and Saba,North America,0,7391,1665
Bosnia and Herzegovina,Europe,992476,232706,43858
Botswana,Africa,0,146725,0
Brazil,South America,31716527,71691137,22889039
British Virgin Islands,North America,0,16302,4749
Brunei,Asia,0,55085,11306
Bulgaria,Europe,2904717,1478774,634291
Burkina Faso,Africa,0,200,0
Burundi,Africa,0,0,0
Cambodia,Asia,1195788,4969942,2203744
Cameroon,Africa,0,75215,11811
Canada,North America,35317305,26503428,2995917
Cape Verde,Africa,0,24382,2719
Cayman Islands,North America,0,84856,39090
Central African Republic,Africa,0,18408,717
Chad,Africa,0,0,0
Chile,South America,15284313,19467845,8420205
China,Asia,160000000,794134000,0
Colombia,South America,17579550,11485904,3432806
Comoros,Africa,0,83907,36883
Congo,Africa,0,38268,15645
Cook Islands,Oceania,0,8291,0
Costa Rica,North America,1063153,1658685,646346
Cote d'Ivoire,Africa,661623,593683,0
Croatia,Europe,2045229,1903673,565519
Cuba,North America,4484454,2844682,157625
Curacao,North America,0,158274,72114
Cyprus,Europe,7336892,654896,250582
Czechia,Europe,0,5983341,1798220
Democratic Republic of Congo,Africa,0,23197,0
Denmark,Europe,33135872,3760386,1369059
Djibouti,Africa,0,21357,8810
Dominica,North America,0,37126,17296
Dominican Republic,North America,1578947,5197199,1348310
